"Type.of.breach","Mean","N","Median","StDev","Skew","Kurt"
"#N/A",35544.9325842697,89,1717,204532.621118957,8.54342812613484,74.6279240961678
"CARD",287594.875,32,300,1274629.75932808,4.62948502424153,21.138078737724
"DISC",1690375.96909205,1553,1600,36612665.3569538,34.2820527761729,1258.55012056491
"HACK",4499999.81097945,1603,4624,78551718.1501425,34.9846540583989,1318.21316049281
"INSD",222288.372340425,376,669,1860107.58750351,11.7137244268566,153.863931620547
"PHYS",26966.3507462687,1474,1742,227746.694078486,16.6150323373801,312.45954321012
"PORT",212415.21167048,874,3575,2776259.248742,24.3661837060007,642.056187353642
"STAT",88238.7608695651,184,3059.5,450483.682718783,8.01240859251067,67.6125865680185
"UNKN",331496.27158556,637,500,4848207.23691945,17.9862072040289,337.241984577108
